"Cause","Deaths","ICD Title"
"R99",2268174,"Other ill-defined and unspecified causes of mortality"
"A16",1787058,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"J18",1257426,"Pneumonia, organism unspecified"
"A09",815196,"Diarrhea and gastroenteritis of infectious origin"
"I64",767534,"Stroke, not specified as hemorrhage or infarction"
"E14",655406,"Unspecified diabetes mellitus"
"I50",563446,"Heart failure"
"Y34",553978,"Unspecified event, undetermined intent"
"D84",430476,"Other immunodeficiencies"
"I21",344358,"Acute myocardial infarction"
"B33",343688,"Other viral diseases, not elsewhere classified"
"B20",340528,"Human immunodeficiency virus [HIV] disease with infectious and parasitic diseases"
"X59",296970,"Exposure to unspecified factor"
"J44",240726,"Other chronic obstructive pulmonary disease"
"I11",234216,"Hypertensive heart disease"
"I10",225752,"Essential (primary) hypertension"
"C34",184868,"Malignant neoplasm of bronchus and lung"
"G03",175520,"Meningitis due to other and unspecified causes"
"J45",169680,"Asthma"
"R54",167222,"Senility"
