Sex,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,0,0.046963137,0.045748442,0.045108653,0.042427456,0.038801411,0.036612215,0.032033596,0.030341488,0.02924303,0.02806971,0.026945878,0.026237063
1,1,0.009475124,0.009158218,0.008804592,0.008410901,0.007792294,0.007090672,0.006321261,0.005609864,0.005243907,0.005011664,0.004851546,0.004659369
1,2,0.006808257,0.006630898,0.006362069,0.006121325,0.005696597,0.005167908,0.004674995,0.004062397,0.003573262,0.003305982,0.003140288,0.003021373
1,3,0.006046384,0.006001562,0.005804158,0.005548038,0.005212347,0.004695182,0.004257578,0.003744962,0.003268154,0.002876938,0.00265514,0.002527658
1,4,0.005237826,0.005284573,0.005206018,0.005001788,0.004671529,0.004221946,0.003822468,0.003366285,0.002979015,0.002616927,0.002296327,0.002116467
1,5,0.004414873,0.004537586,0.00453952,0.004434123,0.004170622,0.00373363,0.00340821,0.003011767,0.002679447,0.002406112,0.002127877,0.001873136
1,6,0.003639647,0.003810253,0.003883785,0.003840293,0.003681862,0.003324459,0.003009023,0.00268736,0.002397245,0.002161999,0.001950295,0.001725767
1,7,0.002937912,0.003146257,0.003273673,0.00328308,0.003192447,0.00295773,0.002696064,0.002393361,0.002168103,0.0019722,0.00179577,0.001627374
1,8,0.002322586,0.002561185,0.002739392,0.002785215,0.002751585,0.00261249,0.002430426,0.002180822,0.001970967,0.00182943,0.001687803,0.001549782
1,9,0.001819049,0.002061166,0.002286738,0.002365809,0.002372466,0.002321142,0.002188916,0.002013618,0.00184632,0.001716824,0.001622619,0.001515999
1,10,0.001411897,0.001615175,0.001843461,0.00182736,0.001819467,0.001803734,0.001648301,0.001527568,0.001425339,0.001375204,0.001357139,0.001271661
1,11,0.001298612,0.001477692,0.001674747,0.001694277,0.001655135,0.001608303,0.001457314,0.001318155,0.001240364,0.001193742,0.0011684,0.001137547
1,12,0.001144814,0.001278496,0.001458232,0.001507821,0.001519435,0.001535518,0.001424,0.001323198,0.001270772,0.001240498,0.001231735,0.001208707
1,13,0.001121637,0.001213907,0.001350546,0.001405415,0.001441949,0.001492985,0.001414764,0.001351348,0.001320668,0.001305551,0.00130733,0.001300644
1,14,0.001201936,0.001264064,0.001347531,0.001393569,0.001434818,0.001485201,0.001429356,0.001399877,0.001389938,0.001389103,0.001400582,0.001403612
1,15,0.001365552,0.001410273,0.001442979,0.00147826,0.001513542,0.001537574,0.001490299,0.001485026,0.001493596,0.001507311,0.001528526,0.001540452
1,16,0.001599668,0.00163624,0.001627875,0.001653075,0.001672512,0.001643596,0.001578114,0.001580422,0.001604113,0.001625588,0.00164921,0.001666957
1,17,0.001897023,0.001930335,0.001895054,0.001915304,0.001915272,0.001819473,0.001719404,0.001718517,0.001738916,0.001761254,0.001780768,0.001798231
